[2019-10-20T12:32:58.363] [INFO] default - categories-default test, this is info
[2019-10-20T12:32:58.371] [WARN] default - categories-default test, this is warn
[2019-10-20T12:32:58.373] [ERROR] default - categories-default test, this is error
[2019-10-20T12:32:58.375] [WARN] production - categories-production test, this is warn
[2019-10-20T12:32:58.375] [ERROR] production - categories-production test, this is error
[2019-10-20T12:33:07.346] [INFO] default - categories-default test, this is info
[2019-10-20T12:33:07.352] [WARN] default - categories-default test, this is warn
[2019-10-20T12:33:07.353] [ERROR] default - categories-default test, this is error
[2019-10-20T12:33:07.355] [WARN] production - categories-production test, this is warn
[2019-10-20T12:33:07.355] [ERROR] production - categories-production test, this is error
[2019-10-20T12:33:23.906] [INFO] default - categories-default test, this is info
[2019-10-20T12:33:23.913] [WARN] default - categories-default test, this is warn
[2019-10-20T12:33:23.915] [ERROR] default - categories-default test, this is error
[2019-10-20T12:33:23.916] [WARN] production - categories-production test, this is warn
[2019-10-20T12:33:23.916] [ERROR] production - categories-production test, this is error
