[2019-10-20T12:33:48.720] [INFO] default - categories-default test, this is info
[2019-10-20T12:33:48.725] [WARN] default - categories-default test, this is warn
[2019-10-20T12:33:48.728] [ERROR] default - categories-default test, this is error
[2019-10-20T12:33:48.729] [WARN] production - categories-production test, this is warn
[2019-10-20T12:33:48.729] [ERROR] production - categories-production test, this is error
[2019-10-20T12:34:16.195] [INFO] default - categories-default test, this is info
[2019-10-20T12:34:16.199] [WARN] default - categories-default test, this is warn
[2019-10-20T12:34:16.200] [ERROR] default - categories-default test, this is error
[2019-10-20T12:34:16.201] [WARN] production - categories-production test, this is warn
[2019-10-20T12:34:16.201] [ERROR] production - categories-production test, this is error
[2019-10-20T12:34:23.920] [INFO] default - categories-default test, this is info
[2019-10-20T12:34:23.926] [WARN] default - categories-default test, this is warn
[2019-10-20T12:34:23.929] [ERROR] default - categories-default test, this is error
[2019-10-20T12:34:23.930] [WARN] production - categories-production test, this is warn
[2019-10-20T12:34:23.930] [ERROR] production - categories-production test, this is error
[2019-10-20T12:34:47.331] [INFO] default - categories-default test, this is info
[2019-10-20T12:34:47.337] [WARN] default - categories-default test, this is warn
[2019-10-20T12:34:47.338] [ERROR] default - categories-default test, this is error
[2019-10-20T12:34:47.339] [WARN] production - categories-production test, this is warn
[2019-10-20T12:34:47.339] [ERROR] production - categories-production test, this is error
[2019-10-20T12:35:05.746] [INFO] default - categories-default test, this is info
[2019-10-20T12:35:05.752] [WARN] default - categories-default test, this is warn
[2019-10-20T12:35:05.754] [ERROR] default - categories-default test, this is error
[2019-10-20T12:35:05.755] [WARN] production - categories-production test, this is warn
[2019-10-20T12:35:05.755] [ERROR] production - categories-production test, this is error
[2019-10-20T12:37:20.757] [INFO] default - categories-default test, this is info
[2019-10-20T12:37:20.761] [WARN] default - categories-default test, this is warn
[2019-10-20T12:37:20.762] [ERROR] default - categories-default test, this is error
[2019-10-20T12:37:20.763] [WARN] production - categories-production test, this is warn
[2019-10-20T12:37:20.763] [ERROR] production - categories-production test, this is error
